name,target_score,avoid_score,total_score,military_score,american_wars_score,geopolitics_score,early_america_score,science_tech_score,political_thought_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score
Brian Balogh,0.7877623689961702,-0.7702373303387785,0.017525038657391745,0.7250293209723637,0.766218432821016,0.933211311378565,0.7921018611455485,0.8484481511496327,0.7765556764598535,0.5814312063396126,-0.7281194845026161,-0.7353290946205089,-0.7692163512623932,-0.7028741092953877,-0.7677532850663773,-0.9232720543192938,-0.7218677105168276
Richard Barnett,0.7513566190786203,-0.7592365284244018,-0.007879909345781533,0.9380392826445881,0.682671109616742,0.7205519426998126,0.7850809039216633,0.7171439852020712,0.6370634703616312,0.7012172247962039,-0.8015006577492316,-0.7251375918289189,-0.7281012623012622,-0.6656670795356019,-0.798644934987962,-0.8599056059900195,-0.6988019413209535
"Herbert (""Tico"") Braun",0.7175412830914564,-0.7465427003680845,-0.029001417276628083,0.7376332311716364,0.6025367174122409,0.78557747040943,0.7519869083166213,0.6626499439540391,0.7818468360502312,0.6586650440910651,-0.6514245750302021,-0.7917657717159938,-0.6903404237302091,-0.7343696549785597,-0.934371837985458,-0.6468583487413196,-0.6929670217474503
Everett U. Crosby,0.7242471207736892,-0.6822694308252063,0.041977689948482944,0.940685431544811,0.6373709572906782,0.7154151821721888,0.6302848636025926,0.7383757686828816,0.7385433228941409,0.5278230662122654,-0.70557032331919,-0.7266400900655693,-0.7692240472652577,-0.6125458936811992,-0.6721881172270584,-0.6207094393667226,-0.6386236519442878
Ronald G. Dimberg,0.6929159882291085,-0.6764548136832319,0.01646117454587659,0.8413029633835762,0.6120100770774298,0.778147059531806,0.6259897718423164,0.6590490926157313,0.6945770347017568,0.5500483037621201,-0.5964901402015794,-0.7862661895605287,-0.6774182526734482,-0.5718298065400648,-0.7692701511853818,-0.5974449671348057,-0.6709945308969785
Nicholas C. Edsall,0.5381985108432384,-0.5843499979361783,-0.046151487092939814,0.5484546298357581,0.5005826256958852,0.5629950119919239,0.6130824839596396,0.5322447647664138,0.47993779834774886,0.5075929900032128,-0.49405864354499807,-0.5915355602215682,-0.5653848200183399,-0.5541251828178453,-0.7589336074757348,-0.4469732282808675,-0.5787099235772369
Gary W. Gallagher,0.7698198390579103,-0.6895544132352086,0.08026542582270169,0.9409811834843889,0.7337090267094353,0.7033367904639791,0.8426232787356446,0.7754399272434097,0.5655821092864451,0.7168137262089203,-0.6649181720461068,-0.6587951547970553,-0.7450120606734629,-0.6947463875777639,-0.7463784283060514,-0.637094753809307,-0.6635283481309731
George H. Gilliam,0.817158603467629,-0.7134281139327626,0.10373048953486641,0.7035752813210548,0.6994227304598579,0.8293079650980799,0.8062719824980763,0.7405226223398224,0.9303867631206091,0.9370727466010741,-0.6927541251477204,-0.7255952562320703,-0.7705933473895141,-0.6752827900701315,-0.7599143777522652,-0.6626891925193577,-0.692488945032633
Michael F. Holt,0.7401750939649773,-0.6853468895512445,0.05482820441373282,0.7320159311891385,0.7279983973225712,0.8259757842634647,0.780952641110753,0.7097674212863699,0.7479852909415253,0.6247007488680139,-0.6913238786070783,-0.6858034247525908,-0.6852902962398537,-0.6246350084046023,-0.7532677432850412,-0.6560117929385411,-0.6876706787378843
John W. Israel,0.5181359511429899,-0.5793452596035322,-0.06120930846054229,0.5462676793421664,0.4760859567845173,0.5396577440085033,0.5462953478424735,0.5401279333880258,0.45710614134185285,0.5056223128452664,-0.4665914144930122,-0.5847334094333128,-0.561313300272198,-0.5048979291981164,-0.7555493395997769,-0.565254145005984,-0.5261332893884014
Phyllis Leffler,0.7481874866147427,-0.7436964099299853,0.004491076684757345,0.7525705522142396,0.6557202168627858,0.7657199105717638,0.8320313808963767,0.9038794025392056,0.6250139239709289,0.5984885279743213,-0.7142993358581894,-0.7937660368526729,-0.8280677755145203,-0.6940757924751898,-0.7901185261908719,-0.6530396291478918,-0.6983824075801793
Melvyn P. Leffler,0.7620043746578815,-0.7300315449369965,0.031972829720885,0.738577148567057,0.806770258788127,0.9398319847132515,0.7994298703691509,0.7157902813895654,0.6243212962256858,0.6008672336858054,-0.659879723974616,-0.7910694722765762,-0.6443656869602601,-0.8531490635805045,-0.7698810681513618,-0.6130740187960397,-0.7149154840997117
